,TEXT
212,　　@不合群的傻子　　-----------------------------　　以前没有社保基金，工人、事业单位、公务员的养老是由国家财政支付的。　　他们并入社保基金养老后，他们也在缴纳社保基金，但前期他们没有为社保基金做贡献，按说他们也没有资格领退休金，但国家财政拨款社保基金，让这些人可以合理地在社保基金里领取退休金了。国家财政拨款社保基金，就是继续承担他的原来义务而已。　　农民如果自己补缴了社保基金，也可以领退休金。　　或者国家给他们补足的社保基金，老年农民也可以领退休金。　　中国有超过1个亿的老年农民，按他们每月领2000元（可能　@一片寒雪要骂我了，凭什么老年农民要领比城里人的退休金低？），国家要每人给补足社保基金大约是25万元，那些国家财政要向社保基金转移25万亿人民币。　　只要国家财政向社保基金转移了25万亿人民币，这些老年农民也可以每月领取2000元的退休金了。
213,　　@不合群的傻子　　----------------------------　　比如当年工人，不仅缴了税（企业税就是他们创造的），国家还把他们创造的绝大多数财富拿走，建立新厂、公路、铁路等。更重要的是，国家还把他们的养老钱也拿走了。　　假设当时有养老社保基金，国家应该发给他们150元，其中20元是缴纳社保基金的，而国家实际上只发给他们130元的工资，把本该属于工人养老的20元，拿走了，国家就有用财政给他们养老的义务。　　现在，由社会统筹的社保基金养老，那么国家就有责任和义务继续履行其义务，完成对这些人的养老义务。那么国家向社保基金拨款，为这些人养老，就是天经地义的。
214,　　@lhq994411　　--------------------　　看来你没有下去扶过贫，有的只是想当然。　　比如，正当壮年的人，由于疾病他们家庭贫困，只能通过扶贫，设立救济才能让他渡过难关，你所谓的发老年退休工资，对他没有任何意义。　　比如，有一位妇女，她有两个孩子，孩子还很小，但丈夫在外养女人，不顾家，你所谓的养老工资对她也没有帮助。　　比如，有的人家是危房，如果国家不提供救助，他就有可能一直在危房里生活。
215,　　还有些人担心国家政府是不是会没钱，这也不用担心。现在财政收入每年15万亿，另外，我国的国企央企股权，是上百万亿的股权，可以说，中国的政府财政后盾，比美国都强，不用担心缺钱的问题，只是考虑把钱怎么分配的问题
216,　　@lhq9944112017-05-2907:23:30　　还有些人担心国家政府是不是会没钱，这也不用担心。现在财政收入每年15万亿，另外，我国的国企央企股权，是上百万亿的股权，可以说，中国的政府财政后盾，比美国都强，不用担心缺钱的问题，只是考虑把钱怎么分配的问题　　-----------------------------　　你不会杀鸡取卵，把国有企业都变卖后吃饭吧？　　中国的财政赤字并不是小数目，有的地方政府债务有可能破产。　　国债要适度，最后买单的还是所有国人。　　美债累积近20万亿美元，连每年要偿还的6000多亿美元利息都是借钱偿还，更不用说本金了。但美元是世界最主要的储备货币和贸易货币，是由全世界给他买单；而中国的债务只能是中国人自己买单。
217,　　大家看人民的名义中有集，李达康给光明区政府财政局公安局分配出钱任务，没家都是几千万，几天之内就出，反应李的霸道，但也从侧面反应，一个县处级单位几千万拿出来这么容易，根本就不缺钱。现在地厅级拿个上亿的资金也不是很难，省部拿个几十亿也能行
218,　　@lhq9944112017-05-2907:23:30　　还有些人担心国家政府是不是会没钱，这也不用担心。现在财政收入每年15万亿，另外，我国的国企央企股权，是上百万亿的股权，可以说，中国的政府财政后盾，比美国都强，不用担心缺钱的问题，只是考虑把钱怎么分配的问题　　-----------------------------　　今年的财政预算草案报告中，出现了这样一些句子：“财政收入增幅回落，收支平衡难度很大”，“收支平衡压力越来越大”，“2016年财政形势更加严峻，平衡收支面临极大压力”，引人注目。
219,　　中国改革开放近40年了，国家政府积累了大量的财富，以前说中国历史上宋朝是有钱的，但现在远比宋朝有钱
220,　　@lhq9944112017-05-2907:36:18　　中国改革开放近40年了，国家政府积累了大量的财富，以前说中国历史上宋朝是有钱的，但现在远比宋朝有钱　　-----------------------------　　你所谓的有钱是指什么？　　国家这么有钱，还非得财政赤字运行？这些国债不偿还利息？　　如果你是指外汇储备，那么你可能不了解外汇储备的性质。
221,　　农村老人每月几十元的养老福利就让有些城里人心里难受？你们可知道农民的一辈子都奉献给了你们城里人？你们吃的粮食，你们住的房子，你们每天的生活垃圾……哪一样都洒满了农民汗水，甚至献血。也只有在中国，老百姓有城乡两等公民之分。没有农民，城里人住的上高楼？到时满大街上你们城里人养的宠物狗的狗粪遍地开花。　　
222,　　头段时间不是克强总理批财政资金躺在银行睡大觉，不是地方上不给，而是给的话要合理合法给，以后要审计，出问题要丢帽子进狱子，也反应出财政真不缺钱
223,　　@lhq9944112017-05-2907:23:30　　还有些人担心国家政府是不是会没钱，这也不用担心。现在财政收入每年15万亿，另外，我国的国企央企股权，是上百万亿的股权，可以说，中国的政府财政后盾，比美国都强，不用担心缺钱的问题，只是考虑把钱怎么分配的问题　　-----------------------------　　美国早晚要崩溃在美国债务上。　　西方国家只所以能通过债务方式来发福利，这是因为他们可以转嫁给全世界。中国就没有这个能力。　　并且这个模式并不是健康的，是危机重重的，希腊债务危机就是一个缩影。　　委内瑞拉也是一个活生生的例子。
224,　　@高枫20172017-05-2907:40:43　　农村老人每月几十元的养老福利就让有些城里人心里难受？你们可知道农民的一辈子都奉献给了你们城里人？你们吃的粮食，你们住的房子，你们每天的生活垃圾……哪一样都洒满了农民汗水，甚至献血。也只有在中国，老百姓有城乡两等公民之分。没有农民，城里人住的上高楼？到时满大街上你们城里人养的宠物狗的狗粪遍地开花。　　-----------------------------　　没有人为农村老人的几十元难受。　　是想告诉你，不为社保基金贡献，就会社保基金里领钱，会把这个锅砸烂的，让所有人无退休金可领。这些人领的退休金，并不是国家恩赐的，是他们几十年投资社保基金的回报，是领他们自己的钱，只不过晚领几十年而已。　　农村老人领的是国家财政支出的一种福利，如果财政允许，每月给老年农民发1000000元都没有意见。　　能明白吗？　　说到贡献，哪个中国人不给这个国家做过贡献？　　城里人不给国家做贡献？商人不给国家缴税？退伍军人不为国家牺牲？　　但如果这些人不缴纳社保基金，他们还不是领不到退休金？
225,　　中国以世界1/5的人口，生产了世界上过半的钢等工业品，衣服等等日用品，大家又不是傻子，不赚钱不会长期干活的，所以近些年，多数人包里都富了，头几天新闻美国人多数拿不出300美元，现在中国人，多数家里拿一万块是很轻松的，政府也是一样有钱的
226,　　@lhq9944112017-05-2907:48:37　　中国以世界1/5的人口，生产了世界上过半的钢等工业品，衣服等等日用品，大家又不是傻子，不赚钱不会长期干活的，所以近些年，多数人包里都富了，头几天新闻美国人多数拿不出300美元，现在中国人，多数家里拿一万块是很轻松的，政府也是一样有钱的　　-----------------------------　　第一，中国处于世界产业链低端，虽然干的活比较多，但收入非常可怜。　　第二，家底还有一个积累的问题。　　比如一个有上百年的富豪家族，财富会远远超过新发家的富豪。　　第三，美国仍有美元霸权，可以通过美元来掠夺世界。　　美国金融危机爆发后，美联储偷偷救助银行77000亿美元来掠夺世界。随后又进行了多轮量化宽松，仅第二轮量化宽松就给世界带来12.5%的通货膨胀，这就是掠夺全世界，这就包括中国。
227,　　你个人交的钱，只占少部分。国家划转了大头。毕竟以前很多人是没交钱的。这就是国家兜底。不管怎样，政府要负责。所以就不用瞎bb这些事情了。
228,　　以前农民是要交公粮的我记得一段时间内还有农业税这个东西　　很多年来农民子弟改变命运的唯一途径就是高考那时还没有出来打工这一说话户口户口死死的把农民摁在土地上　　解放后的中国靠农业反哺工业牺牲多少代农民的利益现在那些农民都老了虽然他们名下有地可他们这个年龄能种的了吗？就算种的了农药化肥种子都需要钱　　实质上农村老人的养老基本都是靠子女子女条件好孝顺的老人会过得不错衣食无忧子女条件不行的老人很可怜　　胡温政府给农民发一点老年人补助这个钱不是退休金　　对了还有新农合　　现在农民都说共产党好社会多稳定啊　　
229,　　问题是现在60岁以上的农民，当年让他们交公粮，交提留款，出义务工。但政府并没有给他们提供交社保的平台。他们的贡献应自动纳入社保统筹。现在的农民政府已给他们提供了社保平台，你不交也不能抱怨政府了。　　
230,　　呵呵　　
231,　　那为什么有些人不缴纳也可以领？
232,　　神经病，公务员，老师，警察不交社保怎么退休领那么多养老金？取消社保制度最公平，自己存黄金养老或养儿防老。
233,　　楼主敢说，表达的三观也正，真不能理解在下面乱骂人的人是什么心理，既然有人把问题摆出来讨论了，楼主只是发帖表述了自己的观点而已，想要让人信服把你们的观点也用文明用语表达出来啊，你们以为在下面乱骂楼主，楼主就会害怕的不敢再发表言论吗。以理服人，不管在现实还是网络上，暴力脏话都是要被抵制的。
234,　　都别吵吵了，等中国把全世界的穷国家都援助遍了，就会看到自己国家80岁的老人还在扫大街养活自己了。就会给补助了。。。。。
235,　　不同意楼主的观点，农民之前交的农业税就不是劳动吗？也是为国家做过贡献的，老了国家给养老也不过份，而且也是自己缴了大部分，胜下的所谓国家发的养老金能有几年？都是上了岁数的人。
236,"　　佛山市基一光电有限公司是一家专业设计、生产、经营LED新型照明系列灯具的企业。公司主要生产、经营LED照明系列：水底灯,地埋灯,大功率射灯、LED灯条系列、工矿灯、路灯、隧道灯、投光灯、景观灯、球泡灯、LED大小功率照明设计生产、LED户外灯,LED亮化工程系列等。　　公司集生产销售、服务于一体的LED灯饰企业，为用户提供各类LED灯具，产品适用于工厂、办公楼、公园、广场、高楼、生活小区、购物中心、高速公路、地铁站等户外工程设施，灯光以其亮丽、新颖的色彩，款式多样化和周到的服务，赢得了广大客户的赞誉和信赖！　　水底灯：https://shop207460889.taobao.com　　"
237,　　@洞庭湖畔唱渔歌2017-05-2514:27:05　　神经病，解放后没有农民的劳动，你祖宗都饿死了。　　-----------------------------　　@squirrelcone2017-05-2817:40:24　　逗逼　　-----------------------------　　你以为国家建设只靠农民就够了么？我承认农民流血流汗，但是我们工人不是一样流血流汗？工作几十年才拿的退休金，我们不欠任何人，包括农民
238,　　吵什么吵，都延迟退休到85岁才开始拿养老金。瞧谁在位子上贪得多不用愁惨，瞧谁命长拿得到。
239,　　绝大多数农村老人领几十元的福利待遇都对政府很感恩，因为他们都觉得自己一辈子没出去工作过，老了还有一点收入那是很不错的，比依靠子女强百倍。没这点收入，老了不能下地劳动了，生活费用就得看子女脸色来要。
240,　　我只想说楼主你妈个比怎么生了个你这么个傻种！
241,　　这个世界做什么都有风险，养儿也有风险！　　工人和公职人员有退休工资，从1950年开始就有，农民没有退休工资，也是从1950年开始就没有。今天抱怨的人为什么从1950年开始不做出选择有退休工资的工作呢?　　当时个人能力不能胜任这样的工作只是原因之一，工人和公职人员收入低下、工作没有农村自由可能也是其原因；今天又抱怨的可以探讨一下初始的原因！　　再说了，同样养儿，养了个有出息的，今天的老人根本看不上那么一点的退休费，养了个没有出息的，生活就相对差点！　　养儿防老有风险！
242,　　记得1980年前后的时候，一斤好苹果一元左右，一位大学本科生一月的工资是58元，一个种苹果的大户一年能产几万斤苹果，那些得意的农民们笑那些大学生们呀！
243,　　这个不是我经历的，是听长辈说的。我听说1960年前的什么事期，一个工人一个月的工资，只能买到一捆葱，所以好多葱农村进到工厂的年轻人都放弃工作跑回农村了！不知道有没有这回事呀？！
244,　　有什么好挣的。以我党的尿性，你交或者不交，都有的是办法收拾你们这些屁民。不指望发我养老金，我自己养自己（我父母我自己养，我儿女吗，只能自求多福了）。
245,　　@snu123582017-05-2819:15:02　　农民每月领的几十元钱也不是政府给的。而是农民子女缴的。子女不缴的，父母也无法领取。新农保政府是不赔钱的，还略有节余。　　-----------------------------　　是的，坐标湖南，我们这里就是，儿女不交钱，父母就没得领。反正就是想办法从你口袋捞钱。
246,　　本文作者意在混淆视听，反对给老农民退休金。必须厘清的是：1.施行个人缴纳养老保险制度之后，不到退休年龄的，无论工人还是农民，都必须缴纳才应该获得退休金。2.在国家施行个人缴纳养老保险制度之前达到退休年龄的，无论那个行业，都没有个人缴纳养老保险。那么，那时候的退休工人和党政事业人员，怎么领取退休金的呢？那是国家施行了视为缴纳的政策（他们的退休金是否从之后缴纳的养老保险金里出，不得而知）。既然如此，对待曾经向国家缴纳公粮的老农民，也应该一视同仁，即把在国家施行个人缴纳养老保险制度之前的时间视为缴纳。本人不是农民，是享受退休金的，很清楚：施行个人缴纳养老保险制度之前，我们都不交养老保险金。我想也没有人要求实行养老保险金个人缴纳之后不交保险金、达到退休年龄的农民同样领取退休金吧。本文作者混淆黑白，难道要制造工农矛盾、城乡矛盾，让劳动人民内斗吗？他要达到什么目的？
247,　　一个个的瞎操心，任凭你怎么呼吁也没有用，要看国家掌控者的，农民永远是我们国家的底层，掌控这个国家的人永远是红二代红N代，官二代，官N代，不会再轮到农民的儿子掌控的，除非毛再复活！都洗洗睡吧！
248,　　农民没交社保，农民种地交公粮养活交社保人(上层人士)强制交的，(还说种地完粮天经地义).那公粮r是白给的，农民老了，种不动了，国家补几十元，还得感恩載德。还说农民沒交社保，不得养老金是应该的，老毛同志和周总理常说革命工作不分高低贵贱，只有分工不同。但是老了以后却分了三六九等，你用猪脑想想说的是人话，??　　
249,　　搂主，你祖宗三代都是老农民　　
250,　　我姨妈就是没的社保的那一类后来一次性交了5万多从刚开始的每个月800多涨到现在的1000+了
251,　　国家就像一个家庭，公务员就是家长，工人和农民是儿子，按家庭和谐来讲，应该是：家长、儿子待遇是平等的，但如果物质短缺，而且家长太贪，想多留点，怎么办呢？少给谁？有句话叫“会闹得孩子有奶吃”。　　多年来我国实行以农养工，比如猪肉价格上涨，国家会提供冷冻肉，粮食涨了会提供储备粮，以保证除农民以外的人的生活质量，而农药化肥等工业品价格是不受控制的。　　有人说农民没有交社保就不能享受养老待遇，这话听起来也对，农民确实没交，原因是交不起，但是，如果国家不是控制农产拼价格，而是控制工业品价格，交不起保险可能不是农民。
252,　　@风过耳畔顶！说到大部分自觉按规定缴纳养老保险人的心里话了！　　
253,　　@nuonuonuo20162017-05-2821:03:13　　我妈几年前交了近5w，失地农民养老保险，交的时候已经是退休年纪了，所以交进去就好领了，开始的时候一个月1500，现在涨到1600了，我爸也是交了4W还多少，因为年纪没到还在继续交，今年也好领了。。各地政策不一样吧　　-----------------------------　　@风过耳畔2017-05-2821:14:04　　各地的政策差不多，农民工现在也可以缴纳社保基金，或者通过补缴社保基金的方式，完成对社保基金的贡献。　　-----------------------------　　那么你说的没交领退休金是说什么？
254,　　还是有区别的。　　
255,　　@惊叫小萝卜丝狗2017-05-2608:09:29　　看不懂你想表达什么　　-----------------------------　　@风过耳畔2017-05-2608:21:28　　比如，有的农民工做建筑工每月能赚6000元，他把这些钱用于家庭生活，用于给子女结婚买房子，用于其他的消费，就是不想从中拿出一部分缴社保基金。　　当他年老的时候，想和那些缴了社保基金的人一样从社保基金那儿拿到退休金，这对那些缴社保基金的人公平吗？那些长年从自己收入中缴社保基金的人是弱智吗？将来还会有几个人愿意缴社保基金？吃大锅饭就真的能保障大家的养老吗？　　-----------------------------　　你以为社保就不是大锅饭了吗，我就呵呵了，将来，可以看到老年人越来越多，年轻人越来越少，这个钱从哪里来，人民币贬值，加大缺口，这个钱又怎么补，
256,　　难道不是一样吗　　
257,　　@洞庭湖畔唱渔歌2017-05-2514:41:59　　你他娘搞清农民反补工业的历史再说　　—————————————————　　@洞庭湖畔唱渔歌2017-05-2514:54:08　　你他娘的不就是解放后祖宗刚好在城里么，现在牛了，解放后农民拿什么造反，饿死人的时候都架机枪不准要饭，历史那朝不许要饭了。　　—————————————————　　@风过耳畔29楼2017-05-2514:57:00　　傻孩子，我们村许多人都到了煤矿上班，有的人受不了约束，有的是挨饿，又纷纷跑回了农村。城里的绝大多数人都是从农民迁移出来的。　　当年，我们当地有非常有名的顺口溜：七级工、八级工，不如农民的一沟葱。　　—————————————————　　你这样说我就要说道说道了！你也知道农民都是分到矿上去啊！为什么不能分一个好的岗位？当然，每个工作都需要有人做，那为什么城里人或者有关系的人不愿意去矿上呢？你看看现在挖煤矿的有多少是城里人？农村人进城把最苦最累的活干了，城里人还恬不知耻的说农村人抢了你们的饭碗？抬头看看在建设的高楼大厦，那站在手脚上的难道是你爹吗？　　
258,　　@忍受侠2017-05-2515:03:13　　第一，农民不是没有缴社保养老基金，以前农民是要缴粮的，只不过政府从来就没想过给农民发养老金，所以不说缴的粮里包括养老金。　　第二，公务员也是没有缴社保养老基金，他们领得比企业职工多很多。　　第三，如果说农民没有缴社保养老基金，就不发养老金，那么就让农民自己养儿防老，别对农民的子女强制收养老金，农民的子女不能一边交养老金养城里老人，一边还要养自家老人。　　—————————————————　　@风过耳畔32楼2017-05-2515:09:00　　1、农民缴粮，是基于土改后，国家给农民分到了土地，这属于地租的性质，不是所谓的缴纳社保基金。　　2、公务员以及事业单位人员以前不缴社保基金，依然可以领退休金，当时财政没有为其工资里支出社保基金支出这一项。因为这些人退休时由国家财政转移支付其退休金。　　3、现在公务员和事业单位也缴纳社保基金，也开始从社保基金领退休金，而国家财政一直往社保基金里拨款，弥补这个亏空。　　4、如果缴不缴社保基金，大...　　—————————————————　　你总喜欢引用美国养老金制度，现在又口口声声说国家给农民分到了土地！你怎么不说说美国的土地制度？　　
259,　　@忍受侠2017-05-2515:03:13　　第一，农民不是没有缴社保养老基金，以前农民是要缴粮的，只不过政府从来就没想过给农民发养老金，所以不说缴的粮里包括养老金。　　第二，公务员也是没有缴社保养老基金，他们领得比企业职工多很多。　　第三，如果说农民没有缴社保养老基金，就不发养老金，那么就让农民自己养儿防老，别对农民的子女强制收养老金，农民的子女不能一边交养老金养城里老人，一边还要养自家老人。　　—————————————————　　@洞庭湖畔唱渔歌2017-05-2515:06:27　　就是这个意思。　　—————————————————　　@风过耳畔33楼2017-05-2515:14:00　　你们一定要有这个意识：你们领到的退休金，不是国家给你的，而是你自己的，是你在年富力强时候贡献所应得的。　　如果国家真想补贴农民，大可拿财政发福利。　　社保基金这个池子，是有贡献多多拿，贡献少少拿，不贡献不拿的原则。　　—————————————————　　没有人说一定要你把你爸或者你的养老金拿出来分给我们农民，你可以继续拿着你爸妈的养老金做啃老族，也可以拿着自己的养老金去外国旅游！！我们只是把你们拿养老金享受的待遇和我们没有养老金所得到的待遇做一个对比而已！我们农民比较朴实，只是提出来一个生活温饱的小要求，还有你们的医疗保健待遇呢！农村老人老了生病都靠捱，因为他们负担不起沉重的药费！！！　　
260,　　@蓝石头在流浪2017-05-2515:58:31　　国家承诺过，只生一个好，国家来养老的，计划生育农民也是参加了啊，当然得国家养.总不能换了个领导，以前的政策都不算数了吧，那以后谁还会相信他们的话。　　—————————————————　　@风过耳畔45楼2017-05-2516:02:00　　你能给我找到相关的报纸报道吗？　　我找了那么多年，居然没有找到相关的报纸报道。　　我只见过几张由轮子PS的漏洞百出的报纸头。　　—————————————————　　你们每天争来争去，连利益群体都没有搞清楚！我是90后，我们的父辈和爷爷辈享受的养老待遇肯定是不一样的！我们主要是为爷爷辈的福利待遇争论！　　
261,　　@苏泽肉肉2017-05-2516:05:43　　城市现在拆迁一夜暴富几百万上千万农户用房呢拆迁补助多少你去问问。城市三甲医院看病价高，城市人大把大把的钱，农民看病勒紧裤腰带东借西借看病。　　—————————————————　　@风过耳畔51楼2017-05-2516:08:00　　哈哈，我就问你一句，你缴纳了社保基金后，你原能领4000元退休金，你会为了没缴纳社保基金的农民领到退休金，主动降为领取400元吗？　　—————————————————　　你这样说就非常极端！你退休领4000的话没有人叫你拿出来，就算有这个意思，也不会让你只领400，但是让一个领4000的人拿出400却容易的多！　　
262,　　@洞庭湖畔唱渔歌59楼2017-05-2519:33:00　　老子回复什么都违反了国家规定，档到底怕什么　　—————————————————　　我每一次的精彩评论都发不出去！！这不是档的问题，这是少数既得利益者阻止没有得到利益的人的问题！！　　
263,　　@吕德安2017-05-2608:43:19　　退休双轨制你不去谴责，却在这里和农民争一点点蝇头小利，你个苟奴才，没有农民你吃达便！　　—————————————————　　@风过耳畔71楼2017-05-2608:48:00　　这位傻逼，你是说原来的公务员、事业人员吧？　　原来的公务员、事业人员，确实没有缴社保基金，因为国家财政没有给其提供这部分支出，这些人的退休金是从国家财政里支出的。　　现在的公务员、事业人员也缴纳社保基金，他们也开始从社保基金里领取退休金，国家财政每年要拨款弥补这个亏空。　　—————————————————　　看你也争论了半天，你能不能谈谈你自己的情况，你是做什么工作，又是位于什么地域？　　
264,　　@洞庭湖畔唱渔歌81楼2017-05-2617:38:00　　直接发农民福利卡，注明是对老年农民的一种福利，保证没有人说什么。偏偏又来个养老保障卡。是不是农民基数大，意思一下就是为了数据好看。我不是为现在不交社保的青壮年农民争取什么。就是看不得某些组织既当婊子又立牌坊。　　—————————————————　　你们争论不能跑偏题！现在还有劳动力的农民都可以参加国家养老保险，以后年龄到了应该是可以保障生活的！我们主要要看到那些现在年纪大了但是年轻时因为没有养老保险制度又为国家做出过贡献的老农民！！　　
265,　　@惊叫小萝卜丝狗2017-05-2608:09:29　　看不懂你想表达什么　　-----------------------------　　@风过耳畔2017-05-2608:21:28　　比如，有的农民工做建筑工每月能赚6000元，他把这些钱用于家庭生活，用于给子女结婚买房子，用于其他的消费，就是不想从中拿出一部分缴社保基金。　　当他年老的时候，想和那些缴了社保基金的人一样从社保基金那儿拿到退休金，这对那些缴社保基金的人公平吗？那些长年从自己收入中缴社保基金的人是弱智吗？将来还会有几个人愿意缴社保基金？吃大锅饭就真的能保障大家的养老吗？　　-----------------------------　　@孙文龙08512017-05-2912:18:34　　你以为社保就不是大锅饭了吗，我就呵呵了，将来，可以看到老年人越来越多，年轻人越来越少，这个钱从哪里来，人民币贬值，加大缺口，这个钱又怎么补，　　-----------------------------　　有人逃交社保这个本来就是政府的监督责任，既然责任在政府，那么将来这些逃保的人的养老问题政府就要负责，当初政府不是不知道农民没买社保，而是视而不见，不去督促农民买，那么现在农民老了，养老问题政府就要出来补贴农民，　　当然，不补缴领全额退休金肯定不合理了，可以领3分之一
266,　　@985986339112楼2017-05-2622:25:00　　还有楼主，我觉得你这标题就错了　　福利和退休金在我看来不是一回事。　　—————————————————　　对，朋友你说到点子上了！他们争来争去完全都是跑偏题了　　
267,　　@风过耳畔2017-05-2513:42:07　　现在农村老人有两样补助，一是低保，一是高龄补助，那个95元不是退休金，应该是高龄补助。　　—————————————————　　@家电维修技术论坛2017-05-2710:15:21　　你完全说错了，其实你是司马昭之心，恐怕少了自己的养老金。　　低保是对农村生活困难的救助；95元是新型农村养老保险，当然和城镇职工养老保险分立。　　可别提那个高龄补助了。其实就是农民存钱给点利息。村支书广播里喊了：每个70十岁老人，儿女每季度给交300元，然后这个老人每月可以领到120元。这个老人儿女如果不交，就会背上不孝的骂名。其实就是变相集资。　　......　　—————————————————　　@风过耳畔121楼2017-05-2710:22:00　　不知道你那儿的什么情况，我一分钱没有存，我的母亲每月都能领到钱。　　其实我也愿意这种变相集资哟。　　一年存1200元，父母每年可以领到1440元。并且存的这1200元将来还返给你，你们那儿还有这么高的存款利息吗？我存个10万8万的，我就不用工作了。　　—————————————————　　你既然有母亲的话还是好好问问你妈以前的历史吧　　
268,　　@风过耳畔2017-05-2513:51:37　　美国普通民众的退休金是SocialSecurityRetirementBenefits（社保退休福利），平时工作要交社保税，个人交收入的6.20%，公司也交同样的比例，如果是自雇的话，个人要交12.40%。　　美国现在正常退休年龄是66岁，但1960年后出生的是67岁。获取退休金必须积攒40点，每1130收入算一点，但每年最多四点，这样至少要工作十年。如果配偶不工作或不符合工作年限要求，也可以领取少量退休金。如果配偶死亡，配偶对方（必须到退休......　　—————————————————　　@呼伦贝尔喜洋洋1143楼2017-05-2816:22:00　　这是国家体制的问题，钱都哪去了？给百姓造福应是国家财政出钱而不应该让老百姓原本可怜的一点退休费再额外分出去一部分，这是不公平不讲道理的做法。全民福利是一个国家真正造福百姓能够做到多少？让百姓信服，拥护？　　—————————————————　　拿到退休金还可怜？那些一个月拿和两千三千的，我觉得是应该，可是有的都拿六七千一个月，而且他们还享有国家医保，这和农民比起来就是天壤之别了……　　
269,　　@当初的你hoo161楼2017-05-2819:39:00　　凭心而论，现在的农民比以前的好很多了，有田地可以分，自己不种可以租给别人，每年收些租金。自己又可以找工作或者做老板。感觉现在城市下岗、失业、待业者比起现在的农民，生活压力大太多了。　　—————————————————　　没有人说现在的政府对农民差！！我们主要说的是老一代农民的福利问题！！请记住，是老一代农民！就是现在基本过了60岁的人！！　　
270,　　@nuonuonuo2016171楼2017-05-2821:03:00　　我妈几年前交了近5w，失地农民养老保险，交的时候已经是退休年纪了，所以交进去就好领了，开始的时候一个月1500，现在涨到1600了，我爸也是交了4W还多少，因为年纪没到还在继续交，今年也好领了。。各地政策不一样吧　　—————————————————　　不是每个地方都有的！我们那里就没听说过！　　
271,　　怎么可能
272,　　@天水一姜2017237楼2017-05-2908:27:00　　问题是现在60岁以上的农民，当年让他们交公粮，交提留款，出义务工。但政府并没有给他们提供交社保的平台。他们的贡献应自动纳入社保统筹。现在的农民政府已给他们提供了社保平台，你不交也不能抱怨政府了。　　—————————————————　　总算看到一个明智的了！我的观点和你一样，我主要争取60岁以上农民的利益！　　
273,　　@好的一比241楼2017-05-2909:16:00　　楼主敢说，表达的三观也正，真不能理解在下面乱骂人的人是什么心理，既然有人把问题摆出来讨论了，楼主只是发帖表述了自己的观点而已，想要让人信服把你们的观点也用文明用语表达出来啊，你们以为在下面乱骂楼主，楼主就会害怕的不敢再发表言论吗。以理服人，不管在现实还是网络上，暴力脏话都是要被抵制的。　　—————————————————　　正确　　
274,　　@忍受侠2017-05-2515:03:13　　—————————————————　　@风过耳畔43楼2017-05-2515:57:00　　这位杂碎，农民缴粮当然也是贡献，但性质不一样。　　农民缴粮的贡献，相当于地租，因为农民土改后分到了土地，有了生产资料，这是向国家缴纳的地租性质的东西。　　比如工人创造的利润绝大多数被国家拿走了，去建设了其他工厂、铁路、公路等。是不是说工人可以主张把其他工厂、铁路、公路纳入他的名下？　　—————————————————　　农民交粮相当于地租，那工人交的钱相当于什么？农民的地是国家给的，你的生产资料又是谁给的？　　
275,　　@拣到人渣243楼2017-05-2909:25:00　　不同意楼主的观点，农民之前交的农业税就不是劳动吗？也是为国家做过贡献的，老了国家给养老也不过份，而且也是自己缴了大部分，胜下的所谓国家发的养老金能有几年？都是上了岁数的人。　　—————————————————　　对，是的！不是农民不愿意缴纳，是当时没有一个制度而已！！　　
276,　　@风过耳畔2017-05-2821:56:49　　@舒心愉悦baby2017-05-2821:50:54　　交钱领社保是没错，但这个政策是后来90年代才有的吧？之前就是工人有社保，农民是没有的，只能靠家里的几分地来养活自己。所以说之前退休...　　—————————————————　　@舒心愉悦baby2017-05-2822:27:41　　那你怎么不说农民也有交粮食给国家呢？要不然工人吃的是什么？所以不管那一批农民有多少，他们应该也能享有同等待遇！　　—————————————————　　@风过耳畔205楼2017-05-2822:34:00　　农民向国家缴粮食，是基于土地改革后，农民分得土地这个生产资料，相当于向国家缴的地租。　　工人不仅也向国家交税（企业税就是他们创造的），并且他们创造的绝大多数财富被国家拿走建设工厂、铁路、公路了，是不是他们可以主张占有工厂？并且国家当时还把他们的工资一部分拿走了（用来缴纳社保基金的）　　商人也是向政府缴纳了大量的税，但如果他们不缴纳社保基金，他们仍然不能领退休金。　　退休军人如何不缴纳社保基金...　　—————————————————　　农民有生产资料工人没有吗？　　
277,　　@不合群的傻子　　—————————————————　　@风过耳畔221楼2017-05-2907:15:00　　比如当年工人，不仅缴了税（企业税就是他们创造的），国家还把他们创造的绝大多数财富拿走，建立新厂、公路、铁路等。更重要的是，国家还把他们的养老钱也拿走了。　　假设当时有养老社保基金，国家应该发给他们150元，其中20元是缴纳社保基金的，而国家实际上只发给他们130元的工资，把本该属于工人养老的20元，拿走了，国家就有用财政给他们养老的义务。　　现在，由社会统筹的社保基金养老，那么国家就有责任和义...　　—————————————————　　比如以前农民种地产粮，困难时期反而农民饿肚子？以前农民产的粮难道不够自己吃？剪刀差就是剪刀差有什么好辩解的，中国要实现工业化在建国后有殖民地的资源让你剥削吗？没有，只能对内搞剪刀差以农补工。我发现论坛一些人老是问题一刀切，农民的养老就不能按交公粮的和出公工的贡献来换算？有人说国家给农民分了土地所以该交，难道国有企业是不是生产资料是不是分给了工人？土地不就相当于工人的机器吗？不要说的那么冠冕堂皇　　
